from_station_name,from_station_id
"Clinton St & Washington Blvd",91
"Michigan Ave & Oak St",85
"May St & Randolph St",88
"Wood St & Division St",17
"Larrabee St & Menomonee St",28
"Michigan Ave & Congress Pkwy",45
"Wood St & Milwaukee Ave",61
"Racine Ave & Congress Pkwy",32
"Clinton St & Tilden St",68
"Loomis St & Taylor St",19
"Cannon Dr & Fullerton Ave",34
"Halsted St & Wrightwood Ave",349
"Loomis St & Lexington St",320
"Halsted St & James M Rochford St",55
"Wabash Ave & Cermak Rd",42
"Franklin St & Jackson Blvd",36
"Daley Center Plaza",81
"Clark St & Wrightwood Ave",340
"Dearborn St & Adams St",37
"State St & Randolph St",44
"Lincoln Ave & Armitage Ave",94
"Lake Shore Dr & Monroe St",76
"Millennium Park",90
"Michigan Ave & Lake St",52
"Clark St & Randolph St",51
"Southport Ave & Wrightwood Ave",190
"Fairbanks Ct & Grand Ave",24
"Ogden Ave & Chicago Ave",54
"Sheffield Ave & Kingsbury St",20
"Franklin St & Chicago Ave",31
"Kingsbury St & Erie St",74
"Clinton St & Madison St",77
"Damen Ave & Pierce Ave",69
"Dayton St & North Ave",60
"Wabash Ave & Roosevelt Rd",59
"Sheffield Ave & Fullerton Ave",67
"Jefferson St & Monroe St",73
"Noble St & Milwaukee Ave",29
"Lincoln Ave & Eastwood Ave",311
"State St & 16th St",72
"Canal St & Jackson Blvd",75
"Larrabee St & Kingsbury St",48
"Wood St & North Ave",16
"Halsted St & Polk St",108
"State St & Harrison St",5
"Ashland Ave & Augusta Blvd",30
"McClurg Ct & Illinois St",26
"Michigan Ave & Pearson St",25
"Racine Ave & 18th St",15
"Clinton St & Lake St",66
"Ashland Ave & Wrightwood Ave",166
"Aberdeen St & Jackson Blvd",21
"Ashland Ave & Armitage Ave",58
"Ashland Ave & Chicago Ave",350
"May St & Taylor St",22
"Clarendon Ave & Leland Ave",251
"Wells St & Walton St",46
"Larrabee St & North Ave",27
"Adler Planetarium",341
"Calumet Ave & 33rd St",149
"Lincoln Ave & Fullerton Ave",127
"Franklin St & Lake St",164
"Halsted St & 35th St",279
"Greenwood Ave & 47th St",252
"Pine Grove Ave & Addison St",232
"Cottage Grove Ave & 51st St",351
"McCormick Place",62
"Lake Shore Dr & Ohio St",99
"Green St & Milwaukee Ave",84
"Desplaines St & Kinzie St",56
"Clark St & Congress Pkwy",50
"Ashland Ave & Wellington Ave",250
"Halsted St & 37th St",262
"Museum Campus",97
"Clinton St & Roosevelt Rd",57
"Michigan Ave & Washington St",43
"State St & Van Buren St",33
"State St & Kinzie St",47
"Kimbark Ave & 53rd St",322
"Morgan St & 18th St",14
"Racine Ave & Fullerton Ave",87
"Broadway & Barry Ave",300
"Morgan St & Lake St",71
"Indiana Ave & Roosevelt Rd",255
"Orleans St & Elm St",23
"Montrose Harbor",249
"Ravenswood Ave & Irving Park Rd",244
"Sheffield Ave & Willow St",93
"Dearborn St & Monroe St",49
"Wells St & Erie St",53
"Aberdeen St & Madison St",80
"Blackstone Ave & Hyde Park Blvd",121
"Hampden Ct & Diversey Pkwy",220
"Wilton Ave & Diversey Pkwy",13
"LaSalle St & Illinois St",181
"Carpenter St & Huron St",92
"Eckhart Park",86
"Wood St & Grand Ave",285
"California Ave & 21st St",348
"Clarendon Ave & Gordon Ter",312
"Green St & Randolph St",112
"Martin Luther King Dr & Oakwood Blvd",179
